"Stec ID","Trace ID"
"132345","P,T"
"132390","P,T"
"132422","P,T"
"132423","P,T"
"132429","P,T"
"132430","P,T"
"132431","P,T"
"132456","P,T"
"133122","P,T"
"133123","P,T"
"133230","P,T"
"133238","P,T"
"131720","P,T"
"131721","P,T"
"131899","P,T"
"131900","P,T"
"131959","P,T"
"131960","P,T"
"131961","P,T"
"131962","P,T"
"131979","P,T"
"132019","P,T"
"132020","P,T"
"132021","P,T"
"132039","P,T"
"132040","P,T"
"132041","P,T"
"132059","P,T"
"132060","P,T"
"132061","P,T"
"132062","P,T"
"132163","P,T"
"132164","P,T"
"132202","P,T"
"132213","P,T"
"132285","P,T"
"132317","P,T"
"132347","P,T"
"132352","P,T"
"132385","P,T"
"132386","P,T"
"132387","P,T"
"132420","P,T"
"132421","P,T"
"132503","P,T"
"132504","P,T"
"132517","P,T"
"132518","P,T"
"133063","P,T"
"133066","P,T"
"133067","P,T"
"133124","P,T"
"133125","P,T"
"133126","P,T"
"133127","P,T"
"133128","P,T"
"131901","P,T"
"131902","P,T"
"131980","P,T"
"131981","P,T"
"131982","P,T"
"131983","P,T"
"131984","P,T"
"131985","P,T"
"131986","P,T"
"132079","P,T"
"132139","P,T"
"132140","P,T"
"132141","P,T"
"132142","P,T"
"132143","P,T"
"132144","P,T"
"132145","P,T"
"132146","P,T"
"132147","P,T"
"132148","P,T"
"132149","P,T"
"132150","P,T"
"132153","P,T"
"132154","P,T"
"132201","P,T"
"132203","P,T"
"132204","P,T"
"132205","P,T"
"132206","P,T"
"132228","P,T"
"132229","P,T"
"132286","P,T"
"132287","P,T"
"132288","P,T"
"132328","P,T"
"132329","P,T"
"132330","P,T"
"132353","P,T"
"132354","P,T"
"132388","P,T"
"132416","P,T"
"132440","P,T"
"132441","P,T"
"132505","P,T"
"132506","P,T"
"132507","P,T"
"133068","P,T"
"133129","P,T"
"133130","P,T"
"133131","P,T"
"133132","P,T"
"133133","P,T"
"133134","P,T"
"133135","P,T"
"133136","P,T"
"133231","P,T"
"130319","P,T"
"132196","P,T"
"132216","P,T"
"132217","P,T"
"132218","P,T"
"132219","P,T"
"132220","P,T"
"132221","P,T"
"132222","P,T"
"132224","P,T"
"132225","P,T"
"132226","P,T"
"132227","P,T"
"132230","P,T"
"132289","P,T"
"132339","P,T"
"132340","P,T"
"132341","P,T"
"132348","P,T"
"132355","P,T"
"132363","P,T"
"132444","P,T"
"132445","P,T"
"132457","P,T"
"132462","P,T"
"132463","P,T"
"132464","P,T"
"132508","P,T"
"132622","P,T"
"132797","P,T"
"132809","P,T"
"133070","P,T"
"133071","P,T"
"133137","P,T"
"133138","P,T"
"133139","P,T"
"133140","P,T"
"133141","P,T"
"133408","P,T"
"133718","P,T"
"132208","P,T"
"132209","P,T"
"132210","P,T"
"132211","P,T"
"132212","P,T"
"132239","P,T"
"132241","P,T"
"132242","P,T"
"132243","P,T"
"132244","P,T"
"132245","P,T"
"132259","P,T"
"132260","P,T"
"132267","P,T"
"132290","P,T"
"132291","P,T"
"132292","P,T"
"132331","P,T"
"132349","P,T"
"132350","P,T"
"132351","P,T"
"132364","P,T"
"132417","P,T"
"132432","P,T"
"132509","P,T"
"132519","P,T"
"132520","P,T"
"132798","P,T"
"132799","P,T"
"133072","P,T"
"133142","P,T"
"133143","P,T"
"133145","P,T"
"133232","P,T"
"133266","P,T"
"132356","P,T"
"132357","P,T"
"132359","P,T"
