"Stec ID","Destination","Throughput time","Trace length"
"131799","Others",1,2
"131800","USA",1,2
"131819","Others",0,2
"131820","Others",0,2
"131839","Others",0,2
"131840","Others",0,2
"131841","Others",0,2
"131842","Others",0,2
"131859","USA",0,2
"131860","Others",0,2
"131862","USA",4,3
"131863","USA",0,2
"131864","USA",0,2
"131865","USA",0,2
"131866","USA",0,2
"131879","USA",0,2
"131880","USA",0,2
"131881","USA",0,2
"131882","USA",0,2
"131883","Others",0,2
"131884","Others",0,2
"131885","USA",0,2
"131886","USA",0,2
"131899","Others",0,2
"131900","Others",0,2
"131901","Others",0,2
"131902","Others",0,2
"131919","USA",2,2
"131921","USA",2,2
"131922","USA",2,2
"131939","USA",2,2
"131940","USA",2,2
"131941","USA",3,2
"131942","USA",2,2
"131943","USA",2,2
"131944","USA",2,2
"131945","USA",2,2
"131946","USA",2,2
"131959","Others",1,2
"131960","Others",1,2
"131961","USA",1,2
"131962","Others",1,2
"131979","Others",1,2
"131980","Others",0,2
"131981","Others",0,2
"131982","Others",0,2
"131983","Others",0,2
"131984","Others",0,2
"131985","Others",0,2
"131986","Others",0,2
"131999","Others",0,2
"132000","Others",0,2
"132001","Others",0,2
"132002","Others",1,2
"132003","Others",2,2
"132004","Others",0,2
"132005","Others",0,2
"132006","Others",0,2
"132019","USA",1,2
"132020","Others",1,2
"132021","Others",1,2
"132039","USA",0,2
"132040","USA",0,2
"132041","USA",0,2
"132059","Others",1,2
"132060","Others",1,2
"132061","Others",1,2
"132062","Others",1,2
"132079","Others",0,2
"132099","USA",1,2
"132100","USA",0,2
"132119","Others",1,2
"132120","Others",1,2
"132139","USA",1,2
"132140","Others",1,2
"132141","Others",1,2
"132142","Others",1,2
"132143","Others",1,2
"132144","Others",1,2
"132145","Others",1,2
"132146","Others",1,2
"132147","USA",0,2
"132148","USA",0,2
"132149","USA",1,2
"132150","Others",1,2
"132151","USA",1,2
"132152","USA",1,2
"132153","Others",1,2
"132154","Others",1,2
"132155","USA",2,2
"132156","USA",3,2
"132157","Others",1,2
"132158","Others",1,2
"132159","Others",1,2
"132160","Others",1,2
"132161","Others",5,2
"132162","Others",3,2
"132163","USA",1,2
"132164","USA",1,2
"132196","USA",0,2
"132201","Others",0,2
"132202","Others",0,2
"132203","Others",0,2
"132204","USA",0,2
"132205","USA",0,2
"132206","USA",0,2
"132207","Others",2,2
"132208","Others",0,2
"132209","Others",0,2
"132210","Others",0,2
"132211","Others",0,2
"132212","Others",0,2
"132213","Others",2,2
"132214","Others",2,2
"132215","Canada",0,2
"132216","Others",1,2
"132217","Others",1,2
"132218","Others",1,2
"132219","Others",1,2
"132220","Others",1,2
"132221","Others",1,2
"132222","Others",1,2
"132223","USA",5,2
"132224","USA",1,2
"132225","Others",1,2
"132226","Others",1,2
"132227","Others",1,2
"132228","USA",0,2
"132229","USA",0,2
"132230","USA",0,2
"132239","USA",1,2
"132241","Others",1,2
"132242","Others",1,2
"132243","Others",1,2
"132244","Others",1,2
"132245","Others",1,2
"132259","USA",0,2
"132260","USA",0,2
"132267","Others",0,2
"132285","USA",2,2
"132286","USA",2,2
"132287","USA",2,2
"132288","USA",2,2
"132289","USA",2,2
"132290","USA",2,2
"132291","USA",2,2
"132292","USA",2,2
"132317","Others",3,2
"132318","USA",2,2
"132319","USA",2,2
"132320","USA",2,2
"132321","USA",2,2
"132322","USA",2,2
"132323","USA",1,2
"132324","Others",2,2
"132325","USA",2,2
"132326","USA",2,2
"132327","USA",2,2
"132328","USA",2,2
"132329","USA",2,2
"132330","USA",2,2
"132331","USA",0,2
"132339","Others",0,2
"132340","Others",0,2
"132341","Others",0,2
"132342","Others",0,2
"132343","Others",0,2
"132344","Others",0,2
"132345","Others",0,2
"132347","Others",0,2
"132348","Others",0,2
"132349","Others",0,2
"132350","Others",0,2
"132351","Others",0,2
"132352","Others",1,2
"132353","Others",1,2
"132354","Others",1,2
"132355","Others",1,2
"132356","Others",1,2
"132357","Others",1,2
"132358","Others",0,2
"132359","Others",1,2
"132360","Others",1,2
"132361","USA",0,2
"132362","USA",0,2
"132363","Others",5,2
"132364","Others",4,2
"132365","Others",1,2
"132379","USA",0,2
"132380","Others",0,2
"132381","Others",0,2
"132382","Others",0,2
"132383","Others",0,2
"132384","Others",0,2
"132385","Others",0,2
"132386","Others",0,2
"132387","USA",0,2
"132388","USA",0,2
"132389","Others",0,2
"132390","Others",0,2
"132391","Others",4,3
"132392","Others",0,2
"132393","Others",0,2
"132394","Others",0,2
"132395","Others",0,2
"132396","Others",0,2
"132397","Others",0,2
"132398","Others",0,2
"132399","Others",0,2
"132400","USA",0,2
"132401","USA",0,2
"132402","Others",0,2
"132403","Others",0,2
"132404","Others",0,2
"132405","Others",0,2
"132406","Others",0,2
"132407","Others",0,2
"132408","Others",0,2
"132409","Others",0,2
"132410","Others",0,2
"132411","Others",0,2
"132412","Others",1,2
"132413","Others",1,2
"132414","Others",0,2
"132415","USA",1,2
"132416","USA",1,2
"132417","USA",0,2
"132418","Others",0,2
"132419","Others",0,2
"132420","Others",2,2
"132421","Others",2,2
"132422","USA",0,2
"132423","USA",0,2
"132424","USA",0,2
"132425","USA",0,2
"132426","USA",0,2
"132427","USA",0,2
"132428","USA",0,2
"132429","USA",0,2
"132430","USA",0,2
"132431","USA",0,2
"132432","USA",0,2
"132433","USA",0,2
"132434","USA",0,2
"132435","Others",1,2
"132436","USA",5,3
"132437","Others",1,2
"132438","Others",1,2
"132439","USA",1,2
"132440","Others",1,2
"132441","Others",1,2
"132442","USA",0,2
"132443","USA",2,2
"132444","USA",17,2
"132445","USA",17,2
"132446","Others",1,2
"132447","Others",1,2
"132448","Others",1,2
"132449","Others",1,2
"132450","Others",1,2
"132451","Others",1,2
"132452","USA",2,2
"132453","Others",2,2
"132455","USA",2,2
"132456","Others",1,2
"132457","Others",2,2
"132458","USA",0,2
"132459","USA",0,2
"132460","USA",0,2
"132461","USA",0,2
"132462","Others",0,2
"132463","Others",0,2
"132464","Others",0,2
"132465","Others",5,2
"132466","Others",5,2
"132467","Others",5,2
"132468","USA",5,2
"132469","Others",5,2
"132470","USA",5,2
"132471","Others",5,2
"132472","USA",5,2
"132473","USA",2,2
"132474","USA",2,2
"132475","USA",2,2
"132476","USA",2,2
"132477","USA",2,2
"132478","USA",2,2
"132479","USA",1,2
"132480","Others",0,2
"132481","Others",0,2
"132482","Others",6,3
"132483","Others",0,2
"132484","Others",0,2
"132485","Others",1,2
"132486","Others",1,2
"132487","USA",1,2
"132488","Others",1,2
"132489","Others",1,2
"132490","USA",2,2
"132491","USA",2,2
"132492","USA",2,2
"132493","USA",2,2
"132494","USA",2,2
"132495","Others",0,2
"132496","Others",0,2
"132497","Others",0,2
"132498","Others",0,2
"132499","USA",0,2
"132500","USA",0,2
"132501","USA",0,2
"132502","USA",0,2
"132503","Others",0,2
"132504","Others",0,2
"132505","Others",0,2
"132506","Others",0,2
"132507","Others",0,2
"132508","Others",0,2
"132509","Others",0,2
"132510","Others",0,2
"132511","Others",0,2
"132512","Others",0,2
"132513","Others",0,2
"132514","Others",0,2
"132515","Others",0,2
"132516","Others",0,2
"132517","Others",0,2
"132518","Others",0,2
"132519","Others",0,2
"132520","Others",0,2
"132521","Others",0,2
"132522","Others",0,2
"132523","Others",0,2
"132524","Others",0,2
"132525","Others",0,2
"132526","Others",0,2
"132527","Others",1,2
"132528","USA",1,2
"132529","Others",2,2
"132530","Others",1,2
"132531","Others",1,2
"132532","Others",1,2
"132533","Others",1,2
"132534","Others",1,2
"132535","Others",1,2
"132536","Others",1,2
"132537","Others",1,2
"132538","Others",1,2
"132539","Others",1,2
"132540","Others",1,2
"132541","USA",1,2
"132542","USA",1,2
"132543","USA",1,2
"132544","Others",0,2
"132545","Others",0,2
"132546","Others",0,2
"132547","Others",0,2
"132548","Others",0,2
"132549","USA",2,2
"132559","Others",1,2
"132560","Others",1,2
"132561","USA",1,2
"132562","Others",1,2
"132563","Others",1,2
"132579","USA",1,2
"132580","USA",1,2
"132581","Others",0,2
"132582","Others",0,2
"132583","Others",0,2
"132584","Others",0,2
"132585","USA",0,2
"132586","USA",0,2
"132587","USA",0,2
"132599","USA",3,3
"132600","USA",3,3
"132601","Others",1,2
"132602","Others",1,2
"132603","Others",3,3
"132604","USA",2,2
"132605","Others",1,2
"132606","Others",1,2
"132607","USA",2,2
"132609","USA",2,2
"132610","USA",2,2
"132611","USA",2,2
"132612","USA",2,2
"132613","Others",1,2
"132614","Others",1,2
"132615","Others",1,2
"132616","Others",1,2
"132617","Others",1,2
"132618","Others",1,2
"132619","USA",1,2
"132620","USA",1,2
"132621","Others",1,2
"132622","Others",5,2
"132623","USA",0,2
"132624","USA",0,2
"132625","USA",0,2
"132626","Others",1,2
"132627","Others",1,2
"132628","Others",1,2
"132629","Others",1,2
"132630","USA",2,2
"132631","USA",2,2
"132632","USA",2,2
"132633","USA",2,2
"132634","USA",2,2
"132635","USA",2,2
"132636","USA",0,2
"132637","USA",0,2
"132638","USA",0,2
"132639","USA",0,2
"132640","USA",0,2
"132641","Others",4,2
"132642","Others",4,2
"132643","Others",1,2
"132644","Others",1,2
"132645","Others",0,2
"132646","Others",0,2
"132647","Others",0,2
"132648","Canada",0,2
"132649","Canada",0,2
"132650","Others",0,2
"132651","Others",0,2
"132652","USA",0,2
"132653","USA",2,2
"132654","USA",2,2
"132655","USA",2,2
"132656","USA",2,2
"132657","USA",2,2
"132658","USA",2,2
"132659","Others",1,2
"132661","Others",1,2
"132662","Others",0,2
"132663","Others",0,2
"132664","Others",4,2
"132665","USA",1,2
"132666","USA",1,2
"132667","Others",1,2
"132668","Others",1,2
"132669","Others",1,2
"132670","USA",1,2
"132671","Others",1,2
"132672","Others",1,2
"132673","Others",1,2
"132674","USA",0,2
"132675","USA",0,2
"132676","USA",0,2
"132677","USA",0,2
"132678","Others",0,2
"132679","USA",2,2
"132680","USA",2,2
"132681","Others",1,2
"132682","Others",1,2
"132683","Others",1,2
"132684","Others",1,2
"132685","Others",1,2
"132686","USA",2,2
"132687","USA",2,2
"132688","USA",2,2
"132689","USA",1,2
"132690","USA",1,2
"132691","Others",0,2
"132692","Others",0,2
"132693","Others",0,2
"132694","Others",0,2
"132699","Others",0,2
"132700","Others",0,2
"132701","Others",0,2
"132702","Others",0,2
"132703","USA",2,2
"132704","Others",1,2
"132705","Others",1,2
"132706","Others",1,2
"132707","Others",1,2
"132708","Others",1,2
"132709","Others",1,2
"132710","Others",1,2
"132711","Others",1,2
"132712","Others",0,2
"132713","Others",0,2
"132714","Others",0,2
"132715","Others",0,2
"132716","Others",2,2
"132717","Others",1,2
"132718","Others",1,2
"132719","Others",1,2
"132720","Others",0,2
"132721","Others",0,2
"132722","Others",0,2
"132723","Others",0,2
"132724","USA",0,2
"132725","USA",0,2
"132726","USA",0,2
"132727","USA",0,2
"132728","Others",0,2
"132729","Others",0,2
"132730","USA",0,2
"132731","USA",0,2
"132732","USA",0,2
"132733","Others",6,2
"132734","USA",0,2
"132735","USA",0,2
"132736","USA",0,2
"132739","Others",1,2
"132740","Others",1,2
"132741","Others",1,2
"132759","Others",1,2
"132760","Others",0,2
"132761","Others",0,2
"132762","Others",0,2
"132763","Others",0,2
"132764","Others",0,2
"132765","Others",0,2
"132766","Others",0,2
"132767","Others",0,2
"132768","Others",0,2
"132769","Others",2,3
"132770","Others",0,2
"132771","Others",0,2
"132772","Others",0,2
